11:13:18.187 [main] INFO  org.springframework.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/**] onto handler 'org.springframework.web.servlet.resource.DefaultServletHttpRequestHandler#0'
11:13:18.249 [main] WARN  org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor - Autowired annotation should be used on methods with parameters: public void jp.co.worksap.updater.web.rest.UpdateWebService.init()
11:13:18.312 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/login],methods=[GET]}" onto public java.lang.String jp.co.worksap.updater.web.controller.LoginController.login(javax.servlet.http.HttpServletResponse)
11:13:18.359 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/admin/environments/{envId}],methods=[GET]}" onto public jp.co.worksap.updater.web.dto.EnvironmentDto jp.co.worksap.updater.web.rest.AdminWebService.getEnv(int)
11:13:18.359 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/admin/environments/{companyId}/{environmentType}/{environmentName}],methods=[PUT]}" onto public boolean jp.co.worksap.updater.web.rest.AdminWebService.createEnvironment(int,int,java.lang.String) throws java.io.IOException
11:13:18.359 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/admin/environments/{environmentId}/{environmentName}],methods=[POST]}" onto public boolean jp.co.worksap.updater.web.rest.AdminWebService.renameEnvironment(int,java.lang.String) throws java.io.IOException
11:13:18.359 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/admin/environments/{envId}/executors],methods=[PUT]}" onto public void jp.co.worksap.updater.web.rest.AdminWebService.saveExecutor(int,jp.co.worksap.updater.common.ExecutorConfig) throws java.io.IOException
11:13:18.359 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/admin/companies/{companyId}],methods=[DELETE]}" onto public boolean jp.co.worksap.updater.web.rest.AdminWebService.removeCompany(int) throws java.io.IOException
11:13:18.359 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/admin/executors/{executorId}],methods=[DELETE]}" onto public boolean jp.co.worksap.updater.web.rest.AdminWebService.removeExecutor(int)
11:13:18.359 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/admin/environments/{envId}/detect],methods=[PUT]}" onto public java.util.Map<java.lang.String, java.lang.Object> jp.co.worksap.updater.web.rest.AdminWebService.detect(int) throws java.lang.Exception
11:13:18.359 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/admin/companies],methods=[GET]}" onto public java.util.List<jp.co.worksap.updater.web.dto.CompanyInfoDto> jp.co.worksap.updater.web.rest.AdminWebService.getCompanies()
11:13:18.359 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/admin/companies/{companyId}],methods=[GET],produces=[application/txt;charset=UTF-8]}" onto public void jp.co.worksap.updater.web.rest.AdminWebService.exportOneCompany(int,java.lang.String,javax.servlet.http.HttpServletResponse) throws java.lang.Exception
11:13:18.359 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/admin/environments/{environmentId}],methods=[DELETE]}" onto public boolean jp.co.worksap.updater.web.rest.AdminWebService.deleteEnvironment(int) throws java.io.IOException
11:13:18.359 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/admin/permanentUsers/{userId}],methods=[GET]}" onto public jp.co.worksap.updater.web.dto.UserDto jp.co.worksap.updater.web.rest.AdminWebService.getPermanentUsers(int) throws java.io.IOException
11:13:18.359 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/admin/permanentUsers],methods=[GET]}" onto public java.util.List<jp.co.worksap.updater.web.dto.UserDto> jp.co.worksap.updater.web.rest.AdminWebService.getPermanentUsers(javax.servlet.http.HttpServletRequest) throws java.io.IOException
11:13:18.359 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/admin/permanentUsers],methods=[POST]}" onto public int jp.co.worksap.updater.web.rest.AdminWebService.createPermanentUsers(jp.co.worksap.updater.web.dto.UserDto) throws java.io.IOException
11:13:18.359 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/admin/permanentUsers],methods=[PUT]}" onto public int jp.co.worksap.updater.web.rest.AdminWebService.savePermanentUsers(jp.co.worksap.updater.web.dto.UserDto) throws java.io.IOException
11:13:18.359 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/admin/permanentUsers/{userId}/config],methods=[DELETE]}" onto public void jp.co.worksap.updater.web.rest.AdminWebService.removePermanentUsers(int) throws java.io.IOException
11:13:18.374 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/admin/permanentUsers/{userId}/config],methods=[PUT]}" onto public jp.co.worksap.updater.web.dto.UserDto jp.co.worksap.updater.web.rest.AdminWebService.configPermanentUsers(int,java.util.Map<java.lang.Integer, java.lang.Boolean>) throws java.io.IOException
11:13:18.374 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/admin/uploadConfiguration],methods=[POST]}" onto public boolean jp.co.worksap.updater.web.rest.AdminWebService.uploadConfiguration(org.springframework.web.multipart.MultipartFile) throws java.io.IOException
11:13:18.374 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/admin/uploadTempUserFile],methods=[POST]}" onto public jp.co.worksap.updater.web.dto.UserDto jp.co.worksap.updater.web.rest.AdminWebService.uploadTempUserFile(org.springframework.web.multipart.MultipartFile) throws java.io.IOException
11:13:18.374 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/admin/environments/{envId}/executors],methods=[POST]}" onto public int jp.co.worksap.updater.web.rest.AdminWebService.createExecutor(int,jp.co.worksap.updater.common.ExecutorConfig) throws java.io.IOException
11:13:18.374 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/admin/environments/{envId}/executors],methods=[GET]}" onto public java.util.List<jp.co.worksap.updater.common.ExecutorConfig> jp.co.worksap.updater.web.rest.AdminWebService.getExecutors(int)
