10:57:31.698 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/admin/environments/{companyId}/{environmentType}/{environmentName}],methods=[PUT]}" onto public boolean jp.co.worksap.updater.web.rest.AdminWebService.createEnvironment(int,int,java.lang.String) throws java.io.IOException
10:57:31.698 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/admin/companies/{companyId}],methods=[DELETE]}" onto public boolean jp.co.worksap.updater.web.rest.AdminWebService.removeCompany(int) throws java.io.IOException
10:57:31.698 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/admin/executors/{executorId}],methods=[DELETE]}" onto public boolean jp.co.worksap.updater.web.rest.AdminWebService.removeExecutor(int)
10:57:31.698 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/admin/environments/{envId}/detect],methods=[PUT]}" onto public java.util.Map<java.lang.String, java.lang.Object> jp.co.worksap.updater.web.rest.AdminWebService.detect(int) throws java.lang.Exception
10:57:31.698 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/admin/companies/{companyId}],methods=[PUT]}" onto public boolean jp.co.worksap.updater.web.rest.AdminWebService.saveCompanies(int,jp.co.worksap.updater.web.dto.CompanyInfoDto,javax.servlet.http.HttpServletResponse) throws java.io.IOException
10:57:31.698 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/admin/config/check],methods=[POST]}" onto public java.util.List<java.lang.String> jp.co.worksap.updater.web.rest.AdminWebService.checkConfig(jp.co.worksap.updater.common.ExecutorConfig)
10:57:31.698 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/admin/tempUsers],methods=[GET]}" onto public java.util.List<jp.co.worksap.updater.web.dto.UserDto> jp.co.worksap.updater.web.rest.AdminWebService.getTempUsers(javax.servlet.http.HttpServletRequest) throws java.io.IOException
10:57:31.698 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/admin/importTempUser],methods=[POST]}" onto public java.util.Map<java.lang.String, java.lang.String> jp.co.worksap.updater.web.rest.AdminWebService.importTempUser(jp.co.worksap.updater.web.dto.UserDto) throws java.io.IOException
10:57:31.698 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/admin/currentTempUser],methods=[GET]}" onto public java.util.List<jp.co.worksap.updater.web.dto.UserDto> jp.co.worksap.updater.web.rest.AdminWebService.currentTempUser() throws java.io.IOException
10:57:31.714 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/admin/companies],methods=[POST]}" onto public int jp.co.worksap.updater.web.rest.AdminWebService.createCompanies(jp.co.worksap.updater.web.dto.CompanyInfoDto,javax.servlet.http.HttpServletResponse) throws java.io.IOException
10:57:31.714 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/admin/companies],methods=[GET]}" onto public java.util.List<jp.co.worksap.updater.web.dto.CompanyInfoDto> jp.co.worksap.updater.web.rest.AdminWebService.getCompanies()
10:57:31.714 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/admin/companies/{companyId}],methods=[GET],produces=[application/txt;charset=UTF-8]}" onto public void jp.co.worksap.updater.web.rest.AdminWebService.exportOneCompany(int,java.lang.String,javax.servlet.http.HttpServletResponse) throws java.lang.Exception
10:57:31.714 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/admin/executors/{executorId}],methods=[GET]}" onto public jp.co.worksap.updater.common.ExecutorConfig jp.co.worksap.updater.web.rest.AdminWebService.getExecutor(int)
10:57:31.714 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/admin/environments/{envId}/executors],methods=[PUT]}" onto public void jp.co.worksap.updater.web.rest.AdminWebService.saveExecutor(int,jp.co.worksap.updater.common.ExecutorConfig) throws java.io.IOException
10:57:31.714 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/admin/environments/{environmentId}],methods=[DELETE]}" onto public boolean jp.co.worksap.updater.web.rest.AdminWebService.deleteEnvironment(int) throws java.io.IOException
10:57:31.714 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/admin/permanentUsers/{userId}],methods=[GET]}" onto public jp.co.worksap.updater.web.dto.UserDto jp.co.worksap.updater.web.rest.AdminWebService.getPermanentUsers(int) throws java.io.IOException
10:57:31.714 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/admin/permanentUsers],methods=[GET]}" onto public java.util.List<jp.co.worksap.updater.web.dto.UserDto> jp.co.worksap.updater.web.rest.AdminWebService.getPermanentUsers(javax.servlet.http.HttpServletRequest) throws java.io.IOException
10:57:31.714 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/admin/permanentUsers],methods=[POST]}" onto public int jp.co.worksap.updater.web.rest.AdminWebService.createPermanentUsers(jp.co.worksap.updater.web.dto.UserDto) throws java.io.IOException
